Month,Total Traffic (GB)
18-Jul,583884
18-Aug,1031401
18-Sep,1288568
18-Oct,1497199
18-Nov,1621504
18-Dec,1849553
19-Jan,2136376
19-Feb,2222815
19-Mar,2709244
19-Apr,2704314
19-May,3032891
19-Jun,3671332
19-Jul,4013845
19-Aug,4525305
19-Sep,4726263
19-Oct,5038504
19-Nov,5123507
19-Dec,5724305
20-Jan,6062477
20-Feb,6772535
20-Mar,8628499
20-Apr,9050442
20-May,9277425
20-Jun,8740319
20-Jul,8863668
20-Aug,9578004
20-Sep,9821712
20-Oct,10757125
20-Nov,11350608
20-Dec,11719682
21-Jan,11716343
21-Feb,11195254
21-Mar,13744975
21-Apr,15061048
21-May,16735638
21-Jun,16504504
21-Jul,18224519
21-Aug,19124092
21-Sep,19293707
21-Oct,20353133
